18:36:28.755 INFO  manager.ApplicationManager - The link is-->https://contacts-app.tobbymarshall815.vercel.app/home
18:36:28.907 INFO  tests.TestBase - Start test --->removeOneContact
18:36:28.916 INFO  manager.MyListener - 'Start find' element ---> By.xpath: //*[text()='Sign Out']
18:36:34.035 INFO  manager.MyListener - The element with locator ---> By.xpath: //*[text()='Sign Out'] <--- was found
18:36:34.120 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: [href='/login']
18:36:34.159 INFO  manager.MyListener - The element with locator ---> By.cssSelector: [href='/login'] <--- was found
18:36:34.411 INFO  manager.MyListener - 'Start find' element ---> By.xpath: //input[1]
18:36:34.519 INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1] <--- was found
18:36:34.986 INFO  manager.MyListener - 'Start find' element ---> By.xpath: //input[2]
18:36:35.012 INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2] <--- was found
18:36:35.197 INFO  manager.MyListener - 'Start find' element ---> By.xpath: //*[text()=' Login']
18:36:35.238 INFO  manager.MyListener - The element with locator ---> By.xpath: //*[text()=' Login'] <--- was found
18:36:35.330 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:36:40.344 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:36:40.344 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:36:45.372 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:36:45.373 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:36:50.458 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:36:50.458 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:36:55.518 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:36:55.519 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:37:00.595 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:37:00.596 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:37:05.646 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:37:05.647 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:37:10.724 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:37:10.726 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:37:15.784 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:37:15.786 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:37:20.843 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:37:20.844 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
18:37:25.890 INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIM <--- was found
18:37:25.892 INFO  manager.MyListener - 'Start find' element ---> By.cssSelector: .contact-item_card__2SOIM
